intervention_id,cycle_id,organization_id,indicator_id,plan_fiscal_year,change_idea_raw,change_idea_normalized,association_status,association_review,primary_category,secondary_tags,classification_method,classification_rule_used,classification_confidence,classification_reason,taxonomy_version,classification_evidence,override_reason,classification_review,workplan_source_ids,progress_source_ids,planned_methods_raw,process_measures_raw,process_targets_raw,workplan_comments_raw,implementation_status,implementation_flags_raw,implementation_notes_raw,progress_comments_raw,outcome_reference,analysis_eligible,analysis_exclusion_reason
intervention_a3680697dba9ef5fa413,cycle_2351e234b05d8aef5fa7,org_21fdc7b5cfbc878e,ind_728c483317570475,2025/26,1. Improve local implementation of pressure injury prevention best practices in targeted units 2. Implement 2025/26 work plan items for enterprise-wide countermeasures,1. Improve local implementation of pressure injury prevention best practices in targeted units 2. Implement 2025/26 work plan items for enterprise-wide countermeasures,workplan_and_progress,source_exact_idea,Safety & Risk Prevention,[],rule,"[""safety_mechanisms""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Safety & Risk Prevention"":[""\\b(?:hand hygiene|medication reconciliation|de.escalation|pressure injury prevention|pressure ulcer prevention)\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1564""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_1195""]","[""1. Continue to improve the percent of therapeutic surfaces across HHS 2. Disseminate heel boot algorithm to clinical teams 3. Advance regular turning and repositioning with CARE Rounding initiative 4. Advance review and business case development for prophylactic dressing 5. Improve consistency and accuracy of documenting wounds and prevention measures in Epic 6. Expand MIMOSA use beyond pilot to additional teams""]","[""1. To be determined locally at the unit-level based on unit-based A3s 2. Braden scale completion on admission""]","[""1. Varied by unit 2. 90% reliability""]","[""""]",Implemented,"[""Y""]","[""Change plans implemented on targeted units. Unfortunately some units that did not previously have pressure injuries did have some. Also, due to increased education, awareness, and desire to report, these numbers have gone up.""]","[""Current performance as of the end of January. Target will not be achieved this year. One contributing factor is due to increased education, awareness, and desire to report, these numbers have gone up.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_0d09be92e85836e8ba80,cycle_dcaf3d341940841408e6,org_21fdc7b5cfbc878e,ind_7902a2786e2dfb81,2024/25,1. Improve rates of CLABSI through high central line insertion/maintenance bundle reliability; 2. Improve rates of CAUTI through high catheter insertion/maintenance bundle reliability,1. Improve rates of CLABSI through high central line insertion/maintenance bundle reliability; 2. Improve rates of CAUTI through high catheter insertion/maintenance bundle reliability,workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1472""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_1039""]","[""1. Focused countermeasures for unit-based improvements in high contributing areas (supported through prepared bundles/A3s/Scorecards); 2. Selected units collaborate and focus on Central Line Associated Bloodstream Infection (CLABSI) prevention using line insertion and maintenance bundle implementation; 3. Continue collaboration structure for unit-based improvement work; 4. Deploy central line care bundles to all acute care inpatient units at targetted sites""]","[""1. Targeted CLABSI bundle reliability; 2. Targeted CAUTI bundle reliability""]","[""1. 95% reliability; 2. 95% reliability""]","[""""]",Implemented,"[""Y""]","[""Improved reliability to CLABSI and CAUTI best practices has significantly improved the sepsis rates""]","[""Three months of performance remains in fiscal year for this indicator. This target is on track to be achieved.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_8fb8d0901b913a8c7883,cycle_bd8d9971e3b9a06e3325,org_21fdc7b5cfbc878e,ind_7902a2786e2dfb81,2025/26,1. Improve rates of CLABSI through high central line insertion/maintenance bundle reliability 2. Improve rates of CAUTI through high catheter insertion/maintenance bundle reliability 3. Complete A3 to identified countermeasures for HAP/VAP,1. Improve rates of CLABSI through high central line insertion/maintenance bundle reliability 2. Improve rates of CAUTI through high catheter insertion/maintenance bundle reliability 3. Complete A3 to identified countermeasures for HAP/VAP,workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1565""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_1196""]","[""1. Focused countermeasures for unit-based improvements in high contributing areas (supported through prepared bundles/A3s/Scorecards) 2. Continue CLABSI and CAUTI bundle deployment 3. A3 for hospital-acquired pneumonia and ventilator-acquired pneumonia 4. KiteLock implementation 5. Improve data quality and reporting in Epic for CLABSI, Sepsis & VAP/HAP 6. Development of sustainability mechanisms""]","[""1. Targeted CLABSI bundle reliability 2. Targeted CAUTI bundle reliability""]","[""1. 95% reliability 2. 95% reliability""]","[""""]",Implemented,"[""Y""]","[""Bundle reliability continues to improve. Spreading to new areas.""]","[""Current performance is up to November 2025 and is worse than target. Given recent update to CIHI's risk adjustment model, final performance may need to be determined at this point.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_9c6b72c657e48ab28b2b,cycle_0839a2923e551a0bed00,org_21fdc7b5cfbc878e,ind_cc8c64cd779728c7,2024/25,1. Implementation of predictive risk model; 2. Implementation of clinical workflows in response to predictive risk model; 3. Alignment with Integrated Comprehensive Care (ICC) COPD/CHF initiative expansion,1. Implementation of predictive risk model; 2. Implementation of clinical workflows in response to predictive risk model; 3. Alignment with Integrated Comprehensive Care (ICC) COPD/CHF initiative expansion,workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1473""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_1032""]","[""1. Creation of cross-functional corporate A3 working groups focused on medical, surgical and pediatric readmissions; 2. Implementation of Epic Cognitive Computing Model flagging risks of unplanned readmissions; 3. Development of standard work for clinical workflows that are activated in response to patient flagged in the Cognitive Computing Model; 4. Development and implementation of additional countermeasures based on root cause findings per working group""]","[""1. To be determined based on working group A3 root cause findings""]","[""Varied by working group""]","[""""]",Not implemented,"[""N""]","[""Longer time horizon than expected for the predictive risk model build and integration into electronic health record was needed""]","[""Baseline for FY2023-24 finished at 10.2%.  Four months of performance remains in fiscal year; it is not likely that the target will be met.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_0b7cb60f290586edcf4d,cycle_0839a2923e551a0bed00,org_21fdc7b5cfbc878e,ind_cc8c64cd779728c7,2024/25,Prioritized in-depth case reviews with targeted physician services,Prioritized in-depth case reviews with targeted physician services,progress_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,[],"[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_1033""]",[],[],[],[],Implemented,"[""Y""]","[""Case reviews completed and determined vast majority of readmissions to be unavoidable. Changes in remote monitoring, improved discharge follow ups in clinic and enhanced home care services were implemented that are anticipated to impact the readmission rates""]","[""Baseline for FY2023-24 finished at 10.2%.  Four months of performance remains in fiscal year; it is not likely that the target will be met.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_79ce0f8ce0bace1e00c7,cycle_dfa150325f1e514478a2,org_2266095a27574986,ind_0646035afd9bba7c,2024/25,Identify patient population that medication reconciliation on discharge was not completed.,Identify patient population that medication reconciliation on discharge was not completed.,workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1369""]",[],"[""Data collection of patient by classification, procedure and chart reviews to analyze and determine trends by pharmacy and quality""]","[""Identification of patient population to determine any trends of patients not receiving medication reconciliation""]","[""Completion of data review and identified trends by June 30, 2024""]","[""Performance has been benchmarked and is very good however we need to understand the targeted group to improve medication on reconciliation.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_2c01b10caa4f284bcb45,cycle_dfa150325f1e514478a2,org_2266095a27574986,ind_0646035afd9bba7c,2024/25,To map the process and identify any barriers to completion of the Medication Reconciliation Process on discharge.,To map the process and identify any barriers to completion of the Medication Reconciliation Process on discharge.,workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1368""]",[],"[""Complete an FMEA (Failure Mode Effective Analysis) to review the entire process and identify any potential areas of failure.""]","[""Completion of an FMEA and identification of any barriers.""]","[""Completion of FMEA by June 30""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_433ff1e4aafe53de2c36,cycle_6f23bc61827df0ca02d1,org_2266095a27574986,ind_06590f50f65eac7e,2024/25,Implement evening see and treat clinics during the timeframes with the highest volume of patients registered in the emergency department and the left without being seen volume.,Implement evening see and treat clinics during the timeframes with the highest volume of patients registered in the emergency department and the left without being seen volume.,workplan_only,source_exact_idea,Patient Streaming / Triage,[],rule,"[""streaming_variants""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Patient Streaming / Triage"":[""\\bsee and treat\\b|\\brapid assessment zone\\b|\\bsplit.flow\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1372""]",[],"[""Data collect from the EMR with indicators time of day, day of week, CTAS number, age, and the length of time spent in the emergency department waiting area. Date is reviewed and analyzed by the emergency department unit manager and shared with the emergency department team (nurses and physicians), management and board members""]","[""The percentage of patients left without being seen from the emergency department.""]","[""Decrease the number of emergency patients that leave without being seen from 9.8% to less than 7.0% by Quarter 3.""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,insufficient first-cycle ED longitudinal coverage
intervention_6265fbfd9ca3e2f9ce95,cycle_6f23bc61827df0ca02d1,org_2266095a27574986,ind_06590f50f65eac7e,2024/25,"Improve communication with patients around accurate and timely emergency wait times for the 90% percentile of CTAS 3, 4, 5. Implementation in quarter 3 of a visual tool which provides timely information to the patients on expected wait times.","Improve communication with patients around accurate and timely emergency wait times for the 90% percentile of CTAS 3, 4, 5. Implementation in quarter 3 of a visual tool which provides timely information to the patients on expected wait times.",workplan_only,source_exact_idea,Care Coordination & Communication,"[""Patient Streaming / Triage""]",rule,"[""v1:Care Coordination & Communication:\\bcommunicat\\w*"",""v1:Patient Streaming / Triage:\\bCTAS\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcommunicat\\w*""],""Patient Streaming / Triage"":[""\\bCTAS\\b""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1374""]",[],"[""The data will be reviewed and analyzed by the department manager and shared across the teams.""]","[""Monitor the amount of time that the system is up and functioning, purposeful rounding with patients on their experience with the information on expected wait time.""]","[""The real time communication tool will be implemented in Quarter 3, in consideration of the interface with the EMR.""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,insufficient first-cycle ED longitudinal coverage
intervention_414d70b75ace2cdab6bc,cycle_6f23bc61827df0ca02d1,org_2266095a27574986,ind_06590f50f65eac7e,2024/25,"Improve the patient experience in the emergency department waiting room by providing device charging stations, improve seating capacity and comfort.","Improve the patient experience in the emergency department waiting room by providing device charging stations, improve seating capacity and comfort.",workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1373""]",[],"[""Obtain patient feedback through purposeful rounding, concerns and compliments process, follow up phone calls. The Emergency Department Navigator, Unit Manager and the Patient Experience Senior Lead will analyze and review the feedback to drive positive effective quality improvement initiatives.""]","[""Collect and analyze patient feedback on their experience in the emergency department waiting room.""]","[""Collecting data""]","[""Our patient feedback is entered into the organizations incident reporting system, additional feedback will be obtained from patient satisfaction survey.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,insufficient first-cycle ED longitudinal coverage
intervention_ec513d7f315326306792,cycle_8052cd6626d4b031a03d,org_2266095a27574986,ind_06590f50f65eac7e,2025/26,1)Adding a 90th percentile predictive wait time clock to the ED waiting room .Making physical improvements to the ED waiting room to increase patient comfort.Providing a list of all local clinic and virtual care options on the hospital’s website.Working with the local Family Health Team to support patients without a primary care physician who require follow-up after an ED visit,1)Adding a 90th percentile predictive wait time clock to the ED waiting room .Making physical improvements to the ED waiting room to increase patient comfort.Providing a list of all local clinic and virtual care options on the hospital’s website.Working with the local Family Health Team to support patients without a primary care physician who require follow-up after an ED visit,workplan_only,source_exact_idea,Technology & Digital Tools,[],rule,"[""digital_systems""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Technology & Digital Tools"":[""\\b(?:Meditech|Expanse|Cerner|Teletracking|RHIS|EPR|eCTAS|Qualtrics)\\b|\\b(?:digitiz|digitis)\\w*\\b|\\bvirtual (?:tools|care)\\b|\\bvideo (?:interpretation|monitoring)\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1445""]",[],"[""Track and trend the initiatives and their outcomes. Continue to see if there is a downward trend with the new initiatives.""]","[""Review percentage of patients leaving without being seen. Calculated by EMR.""]","[""Less than 5% of total patient do not leave the emergency department without being seen.""]","[""Track and trend data and adjust staffing ratios to correlate with peak times of patient's leaving. Share data with leadership.""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,unit_unverified; population_unverified; reporting_period_unverified; historical_match_unavailable_or_ambiguous
intervention_f7047431ce4a9e4b9f6b,cycle_dd505684a6464edf7268,org_2266095a27574986,ind_37478f8fb5db2bb6,2025/26,Determine the number of staff that have completed the nonviolent crises intervention training,Determine the number of staff that have completed the nonviolent crises intervention training,workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\btrain(?:ing|ed)\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\btrain(?:ing|ed)\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1446""]",[],"[""Collect the data of staff that have successfully completed the training in the last year. Develop an electronic data tracking process for staff completing training""]","[""Data collection""]","[""Unit Manager in collaboration with Human Resources to update shared documents with new hires and current employees with status of training.""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_28a4c885a7db41adebc3,cycle_dd505684a6464edf7268,org_2266095a27574986,ind_37478f8fb5db2bb6,2025/26,Increase the number of staff that complete the Nonviolent Crises Intervention (NCVI) program.,Increase the number of staff that complete the Nonviolent Crises Intervention (NCVI) program.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1447""]",[],"[""Courses will be scheduled on regular basis to facilitate registering of staff into classes. Embedded into the Orientation process.""]","[""Tracking the number of staff registered in each session by name, status and department.""]","[""Have cooperate average of NCVI training (to those in direct patient contact) to at least 60%.""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_e8d3b6a0141f56287c61,cycle_1e3e8d76e30e3201244d,org_2266095a27574986,ind_49804295e8363e2d,2024/25,"Assess data to determine contributing factors, trends, risks for pressure injury development from the organizational wide prevalence pressure injury audit and develop a corporate action plan for quality improvement initiatives.","Assess data to determine contributing factors, trends, risks for pressure injury development from the organizational wide prevalence pressure injury audit and develop a corporate action plan for quality improvement initiatives.",workplan_and_progress,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""v1:Data, Measurement & Dashboards:\\baudit\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\baudit\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1381""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_338""]","[""Wound care committee will track the progress of the action plan on monthly bases at the committee meeting and shared with patient care leadership and healthcare team .""]","[""% of pressure injuries stage 2 and above will be tracked weekly in EMR by unit managers and shared at patient care leadership.""]","[""Action plan will be developed April 2024 and implementation of quality improvements will be implemented 100% by October 2024""]","[""""]",Not implemented,"[""N""]","[""Dashboard available, data shared. Next steps to forward to next years goal.""]","[""Strengthening staff education, improving risk assessment protocols, and utilizing evidence-based interventions to reduce the incidence of pressure injuries.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_28e740931f9606ab23a6,cycle_1e3e8d76e30e3201244d,org_2266095a27574986,ind_49804295e8363e2d,2024/25,Determine if the Braden pressure injury risk assessment tool is completed on admission to hospital and once a week.,Determine if the Braden pressure injury risk assessment tool is completed on admission to hospital and once a week.,workplan_and_progress,source_exact_idea,Admission & Transfer Process,[],rule,"[""v1:Admission & Transfer Process:\\badmission\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Admission & Transfer Process"":[""\\badmission\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1379""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_339""]","[""Data will be pulled for EMR quality dashboards with the indicators of patient, department, care provider, dates completed and the risk scale.""]","[""The unit managers will review their dashboards on weekly bases for their completion numbers and will discuss results with staff,""]","[""100% of all eligible inpatients will have their Braden Scale completed on admission and once a week""]","[""Mental Health, Obstetrical and newborns will not be included in the pressure injury prevalence study due to limited risk factors""]",Implemented,"[""Y""]","[""Challenges of closing the loop, unaware if managers are following up with staff. Statistically there is an improvement.""]","[""Strengthening staff education, improving risk assessment protocols, and utilizing evidence-based interventions to reduce the incidence of pressure injuries.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_98651413918b1f526183,cycle_1e3e8d76e30e3201244d,org_2266095a27574986,ind_49804295e8363e2d,2024/25,Organizational wide prevalence pressure injury audit will be completed August 2024 to determine effectiveness of the quality interventions over the three month period,Organizational wide prevalence pressure injury audit will be completed August 2024 to determine effectiveness of the quality interventions over the three month period,workplan_and_progress,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""v1:Data, Measurement & Dashboards:\\baudit\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\baudit\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1382""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_340""]","[""Data will be collected and presented to the wound care committee and the patient care leadership and shared with health care team.""]","[""A decrease in the percentage of patients with healthcare acquired pressure injuries Stage 2 and above""]","[""7.8 % of patients have identified hospital acquired pressure injury of stage 2 or greater within the first 3 months""]","[""""]",Implemented,"[""Y""]","[""Audit completed by wound care team/champions.""]","[""Strengthening staff education, improving risk assessment protocols, and utilizing evidence-based interventions to reduce the incidence of pressure injuries.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_495a6b34758f16c5a4e1,cycle_1e3e8d76e30e3201244d,org_2266095a27574986,ind_49804295e8363e2d,2024/25,"Patients who have developed or are at risk of developing a pressure injury will have an individualized care plan that includes prevention strategies, a treatment plan if pressure injury present. The plan is reviewed and updated regularly","Patients who have developed or are at risk of developing a pressure injury will have an individualized care plan that includes prevention strategies, a treatment plan if pressure injury present. The plan is reviewed and updated regularly",workplan_and_progress,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1380""]","[""file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_341""]","[""Data is on the unit specific dashboards for the managers to review and share with team. Data is shared with the patient care leadership team,.""]","[""Percentage of people who have developed or at risk of pressure injury have an individualized care plan that identifies patient centered risk factors.""]","[""Increase of 15% of individualized current care plans for patients who have developed or are at risk of developing pressure injuries by August 2024""]","[""Baseline data is being collected April from the EMR to determine % improvement""]",Not implemented,"[""N""]","[""Barriers with turnover in educator(s), thus limited audits.""]","[""Strengthening staff education, improving risk assessment protocols, and utilizing evidence-based interventions to reduce the incidence of pressure injuries.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_55ae427e06c8b69c0970,cycle_6a54584fa0707ee465e4,org_2266095a27574986,ind_5314e24f5f6e6912,2024/25,"Education sessions scheduled for entire management team to improve awareness and understanding of equity, diversity, inclusion and anti-racism education.","Education sessions scheduled for entire management team to improve awareness and understanding of equity, diversity, inclusion and anti-racism education.",workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1376""]",[],"[""Attendance will be tracked at completion of each course and shared with the executive team""]","[""Number of management team that have successfully completed education sessions""]","[""100 % of management staff will have successfully completed education sessions assigned to them on equity, diversity, inclusion and anti-racism education by March 2025.""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_630d05a9852a0c849173,cycle_54e4efc59b58d270ae5b,org_2266095a27574986,ind_5b2e1352e31909e8,2025/26,Enhance flow throughout the hospital. Reducing the bottleneck of the ER department. Adhering to the Surge policy and adjusting as needed for the needs of the organization.Sharing trending data at bed flow meeting,Enhance flow throughout the hospital. Reducing the bottleneck of the ER department. Adhering to the Surge policy and adjusting as needed for the needs of the organization.Sharing trending data at bed flow meeting,workplan_and_progress,source_exact_idea,Surge Management,"[""Policy / Standardization""]",rule,"[""v1:Surge Management:\\bsurge\\b"",""v1:Policy / Standardization:\\bpolic(?:y|ies)\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Policy / Standardization"":[""\\bpolic(?:y|ies)\\b""],""Surge Management"":[""\\bsurge\\b""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1449""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_358""]","[""Census generated at 0800 shared with Bed meeting and leadership""]","[""Average number of admitted patients still in the emergency department at 8 a.m. per day, calculated monthly.""]","[""90% of days were there are 16 admitted patients or less in the Emergency daily @ 0800""]","[""Flow involved interdisciplinary collaboration with physicians, nurses, bed flow, scheduling department and leadership.""]",Implemented,"[""Y""]","[""The Surge policy has been redrafted and is currently awaiting final approval. To support improved patient flow and timely admissions, a hospitalist nocturnist program was implemented, enabling 24/7 admissions. This has reduced the batching of admissions to the day shift and supported more consistent admission processes, contributing to improved patient flow.\n\nAn asynchronous Transfer of Accountability (TOA) process between the emergency department and inpatient units has also been implemented, significantly reducing the time between bed readiness and patient occupancy. Average transfer time decreased from 75 to 52 minutes, with the 90th percentile improving from 142 to 88 minutes following implementation. These improvements have contributed to increased throughput from the emergency department to inpatient units, with average volumes increasing from 331 to 411 patients.""]","[""""]","cycle_id; shared outcome, not independent intervention evidence",false,reporting_period_unverified
intervention_2f45c9e975658949f72d,cycle_c58a7954bae3e8d19033,org_2266095a27574986,ind_67ee717abbe20a1b,2024/25,To enhance and facilitate awareness of the importance completing the experience by patient /families /caregivers,To enhance and facilitate awareness of the importance completing the experience by patient /families /caregivers,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_1370""]",[],"[""Patient information pamphlet developed and will distributed to all patients at registration and inpatient departments""]","[""Track the number of competed surveys by department""]","[""Baseline collection of completed surveys""]","[""""]",Unknown,[],[],[],"cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
intervention_8d96e6ea19873adaaeed,cycle_611d79a6916ea8af0bec,org_2266095a27574986,ind_875299237cfe80b5,2025/26,Improve communication with patients around accurate and timely emergency wait times for the 90% percentile.,Improve communication with patients around accurate and timely emergency wait times for the 90% percentile.,workplan_and_progress,source_exact_idea,Care Coordination & Communication,[],rule,"[""v1:Care Coordination & Communication:\\bcommunicat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcommunicat\\w*""]}",,unreviewed_rules,"[""file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_1452""]","[""file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_359""]","[""The data will be reviewed and analyzed by the department manager and shared across the teams. This includes bed flow meeting.""]","[""Monitor the amount of time that the system is up and functioning, purposeful rounding with patients on their experience with the information on expected wait time.""]","[""Tool implemented with higher percentage of individuals rating overall experience 9 out of 10 in the ER department.""]","[""""]",Implemented,"[""Y""]","[""A public-facing wait time board displaying 90th percentile wait times has been implemented to improve transparency and communication with patients. Ongoing monthly follow-up has demonstrated that approximately 80% of patients are seen within the posted wait time. Despite these improvements in communication, this has not yet translated into measurable improvements in overall patient experience scores.""]","[""Patient messaging has been implemented to enhance communication throughout the emergency department journey, including automated text updates. Ongoing efforts will focus on optimizing this tool to further improve patient engagement and increase survey response rates, enabling more timely and actionable feedback to support continuous improvement.""]","cycle_id; shared outcome, not independent intervention evidence",false,outside primary ED analysis scope
