intervention_id,current_plan_group_id,organization_id,indicator_id,plan_fiscal_year,change_idea_raw,change_idea_normalized,association_status,association_review,primary_category,secondary_tags,classification_method,classification_rule_used,classification_confidence,classification_reason,taxonomy_version,classification_evidence,override_reason,classification_review,workplan_source_ids,progress_source_ids,planned_methods_raw,process_measures_raw,process_targets_raw,workplan_comments_raw
current_5595eff4fc06b1b948ee,current_group_370e690dad89da189fcb,org_2b5536d6945d6d97,ind_32251529fd3b3b42,2026/27,"Implement a structured, in-person Indigenous cultural safety training program for all site leaders to ensure consistent learning, shared understanding, and strengthened culturally safe leadership practices.","Implement a structured, in-person Indigenous cultural safety training program for all site leaders to ensure consistent learning, shared understanding, and strengthened culturally safe leadership practices.",workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\btrain(?:ing|ed)\\b"",""v1:Training & Education:\\blearning\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\btrain(?:ing|ed)\\b"",""\\blearning\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_128""]",[],"[""1. Develop and Approve Training Content 2. Schedule In-Person Sessions 3. Allocate Training Time 4. Track Enrollment & Attendance 5. Support Application of Learning""]","[""Percentage of site leaders who attend the in-person Indigenous cultural safety training within the fiscal year.""]","[""= 80% of site leaders will attend the in-person Indigenous cultural safety training by the end of Q3.""]","[""""]"
current_a55ea22f16112d609f0a,current_group_370e690dad89da189fcb,org_2b5536d6945d6d97,ind_32251529fd3b3b42,2026/27,"Strengthen relationships with Indigenous communities by proactively establishing at least two (2) meaningful partnerships or collaborations with local Indigenous organizations, Knowledge Keepers, or community leaders to support culturally safe care.","Strengthen relationships with Indigenous communities by proactively establishing at least two (2) meaningful partnerships or collaborations with local Indigenous organizations, Knowledge Keepers, or community leaders to support culturally safe care.",workplan_only,source_exact_idea,Care Coordination & Communication,[],rule,"[""collaboration""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcollaborat\\w*\\b|\\bpartnership\\w*\\b|\\bcase management\\b|\\bpatient navigat\\w*\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_129""]",[],"[""1. Identify Local Indigenous Partners 2. Initiate Outreach 3. Facilitate Engagement Meetings 4. Develop Partnership 5. Implement Collaborative Activities 6. Track & Review Partnerships""]","[""Number of engagement meetings held with Indigenous organizations or partners.""]","[""= 2 engagement meetings completed by of end of Q4""]","[""""]"
current_d8263105e3ebfd274f14,current_group_ebb0f4f14ee0df912383,org_2b5536d6945d6d97,ind_e666bcb709405e0f,2026/27,Hire a Nurse Practitioner (NP) for the Emergency Department (ED) to support improved patient flow and reduce overall length of stay.,Hire a Nurse Practitioner (NP) for the Emergency Department (ED) to support improved patient flow and reduce overall length of stay.,workplan_only,source_exact_idea,Staffing & Scheduling,[],rule,"[""v1:Staffing & Scheduling:\\bnurse practitioner\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Staffing & Scheduling"":[""\\bnurse practitioner\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_126""]",[],"[""1. Recruitment and Hiring 2. Integrate NP Into ED Workflow 3. Define Scope and Protocols 4. Staff Education & Communication 5. Monitor Impact and Adjust""]","[""Confirmation of successful hiring of a Nurse Practitioner for the Emergency Department.""]","[""The Nurse Practitioner position is successfully filled.""]","[""""]"
current_e6ce82db4cee2ededfa1,current_group_ebb0f4f14ee0df912383,org_2b5536d6945d6d97,ind_e666bcb709405e0f,2026/27,"Increase education for Emergency Department (ED) Nursing staff on accurately documenting discharge times to improve data quality, support reliable reporting, and enhance measurement of emergency department length of stay.","Increase education for Emergency Department (ED) Nursing staff on accurately documenting discharge times to improve data quality, support reliable reporting, and enhance measurement of emergency department length of stay.",workplan_only,source_exact_idea,Discharge & Transition Planning,"[""Data, Measurement & Dashboards"",""Training & Education""]",rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*"",""v1:Data, Measurement & Dashboards:\\bmeasurement\\b"",""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\bmeasurement\\b""],""Discharge & Transition Planning"":[""\\bdischarg\\w*""],""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_127""]",[],"[""1. Develop Education Materials 2. Provide Education Across All Shifts 3. Reinforce Documentation Expectations 4. Monitor Progress""]","[""Percentage of ED Nursing Staff who received education on accurate discharge time documentation.""]","[""= 90% of ED Nursing staff receive discharge time documentation education.""]","[""""]"
current_d044b04d609e17f6f55f,current_group_ebb0f4f14ee0df912383,org_2b5536d6945d6d97,ind_e666bcb709405e0f,2026/27,"Revise the current patient flow process by implementing a dedicated pathway for CTAS 4 and 5 non‑urgent patients to reduce wait times, decrease length of stay, and improve overall throughput for low‑acuity visits.","Revise the current patient flow process by implementing a dedicated pathway for CTAS 4 and 5 non‑urgent patients to reduce wait times, decrease length of stay, and improve overall throughput for low‑acuity visits.",workplan_only,source_exact_idea,Patient Streaming / Triage,[],rule,"[""v1:Patient Streaming / Triage:\\bCTAS\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Patient Streaming / Triage"":[""\\bCTAS\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_125""]",[],"[""1. Design the Model 2. Establish a Dedicated Space 3. Revise Triage and Registration Processes 4. Optimize Staffing 5. Educate Staff 6. Evaluate and Adjust""]","[""Median time from triage/registration to discharge for CTAS 4 and 5 patients.""]","[""Reduce median wait time for low acuity (CTAS 4 & 5) patients to = 6 hours.""]","[""""]"
current_518bc3c4055ec1eb8f4a,current_group_7ae487eb65c20c9f7679,org_2db7f90ca34301e6,ind_257dd8e61ced7abd,2026/27,Implement Ask me 3 questions during discharge conversations by nursing and discharge nurse to prompt patient questions.,Implement Ask me 3 questions during discharge conversations by nursing and discharge nurse to prompt patient questions.,workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_901""]",[],"[""Educate all nursing staff on Ask me 3 method. Audit discharge documentation monthly. Include patient facing signage encouraging Speak up to enhance engagement.""]","[""Percentage of nursing staff educated on Ask me three questions. This is collected by our Acute medicine team and shared at our monthly meetings.""]","[""70% of inpatient nursing staff will receive education on Ask Me questions to be provided to patients and families.""]","[""""]"
current_9b0abc266949ad60d583,current_group_7ae487eb65c20c9f7679,org_2db7f90ca34301e6,ind_257dd8e61ced7abd,2026/27,Implement teach back education to nursing and discharge nurse confirming patients understanding of discharge instructions.,Implement teach back education to nursing and discharge nurse confirming patients understanding of discharge instructions.,workplan_only,source_exact_idea,Discharge & Transition Planning,"[""Training & Education""]",rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*"",""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""],""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_900""]",[],"[""Educate nursing staff on the Teach Back method. Complete audits on discharge documentation weekly during pilot phase and monthly there after.""]","[""Percentage of discharges with documented teach back located in CERNER documentation. This is collected by acute medicine and shared at our monthly meetings.""]","[""70% of discharges located in CERNER will have the teach back method documented. Our Acute care team will be monitoring this.""]","[""""]"
current_32fb0d2e01acb61fc95d,current_group_7ae487eb65c20c9f7679,org_2db7f90ca34301e6,ind_257dd8e61ced7abd,2026/27,"Include a ""What to do if you're worried about your condition or treatment after discharge"" for all discharging patients.","Include a ""What to do if you're worried about your condition or treatment after discharge"" for all discharging patients.",workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_902""]",[],"[""Place what to do if you are worried about your condition on Discharge Summary. Engage with CERNER/Oracle Health to implement.""]","[""Discharge summary form changed. Percentage of patients with this documented on inpatient discharge summary.""]","[""collecting baseline data""]","[""""]"
current_670f84b2cb0164c10794,current_group_94b6d3278917d1259286,org_2db7f90ca34301e6,ind_5b2e1352e31909e8,2026/27,Expand “Transition to Home” pathways with community partners to reduce ALC load.,Expand “Transition to Home” pathways with community partners to reduce ALC load.,workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\btransition(?:s|al)?\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\btransition(?:s|al)?\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_890""]",[],"[""we will work with our OH@H colleagues to explore more homecare programs.""]","[""Number of patients assigned to homecare program""]","[""collecting baseline data""]","[""""]"
current_5b4754d652faa0bd43ef,current_group_94b6d3278917d1259286,org_2db7f90ca34301e6,ind_5b2e1352e31909e8,2026/27,Explore current role of discharge nurse. Evaluate if this role should function more like a discharge coordinator to review what she might need upon discharge.,Explore current role of discharge nurse. Evaluate if this role should function more like a discharge coordinator to review what she might need upon discharge.,workplan_only,source_exact_idea,Discharge & Transition Planning,"[""Care Coordination & Communication""]",rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*"",""v1:Care Coordination & Communication:\\bcoordinat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Care Coordination & Communication"":[""\\bcoordinat\\w*""],""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_892""]",[],"[""Form working group to discuss discharge nurses roles and responsibilities and how we can re-align them to getting discharges home first.""]","[""Percentage of discharges by 1200 on medicine units""]","[""collecting baseline data""]","[""""]"
current_b0e309d4fa5f7a8b312c,current_group_94b6d3278917d1259286,org_2db7f90ca34301e6,ind_5b2e1352e31909e8,2026/27,"Re-education of hospitalists for rounding process, prioritizing discharges first","Re-education of hospitalists for rounding process, prioritizing discharges first",workplan_only,source_exact_idea,Discharge & Transition Planning,"[""Training & Education""]",rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*"",""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""],""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_891""]",[],"[""education to each hospital about strategy to prioritize discharges""]","[""Percentage of inpatient discharges completed by 1200 on medicine units""]","[""collecting baseline data""]","[""""]"
current_b0348e90434c1076031e,current_group_eb8c49cddfb0a851d8f9,org_2db7f90ca34301e6,ind_a8f6cca5fe8befdf,2026/27,Compare CAM scores for delirium patients versus DAD data to examine what is the most appropriate to calculate,Compare CAM scores for delirium patients versus DAD data to examine what is the most appropriate to calculate,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_887""]",[],"[""Review CAM data and DAD data""]","[""Rate of delirium during hospitalization using CAM scores.""]","[""collecting baseline""]","[""""]"
current_420219bbfcf7f15f8fa6,current_group_eb8c49cddfb0a851d8f9,org_2db7f90ca34301e6,ind_a8f6cca5fe8befdf,2026/27,Develop a clear process for ordering and utilizing the delirium order sets.,Develop a clear process for ordering and utilizing the delirium order sets.,workplan_only,source_exact_idea,Policy / Standardization,[],rule,"[""standard_work""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Policy / Standardization"":[""\\bstandard(?:s|ized|ised)? (?:work|orders?|order sets?|care|pathways?|operating)\\b|\\b(?:clinical|care) pathways?\\b|\\b(?:order sets?|care bundles?|bundle adherence)\\b|\\bnursing standards\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_886""]",[],"[""Responsible: Form a committee including representatives from the Cerner Team, MDs, and nursing staff. Tasks: Establish a workflow for ordering the delirium order set. Train staff on the new process. Monitor and adjust the process based on feedback and performance data.""]","[""Percentage of patients with positive CAM scores who have a delirium order set completed. Percentage of nursing staff educated on the new process.""]","[""collecting baseline data 85% of nursing staff to be educated on the new process""]","[""we are continuing this from last year""]"
current_36886c808837365d1673,current_group_eb8c49cddfb0a851d8f9,org_2db7f90ca34301e6,ind_a8f6cca5fe8befdf,2026/27,Develop and implement a standardized delirium order set in Cerner.,Develop and implement a standardized delirium order set in Cerner.,workplan_only,source_exact_idea,Policy / Standardization,[],rule,"[""v1:Policy / Standardization:\\bstandardiz\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Policy / Standardization"":[""\\bstandardiz\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_885""]",[],"[""Responsible: Senior Friendly Committee Create the order set in Cerner. Ensure the order set includes evidence-based interventions for delirium.""]","[""Percentage of patients with positive CAM scores who have a delirium order set completed. Percentage of patients with a CAM completed within 24 hours of admission.""]","[""collecting baseline data""]","[""we are continuing this from last year""]"
current_a8d6a8a1cb5a3eedac31,current_group_1aef30c3e730953d9d31,org_2db7f90ca34301e6,ind_b63866b887f21f14,2026/27,Complete return audit visits on all return visits by MD quarterly,Complete return audit visits on all return visits by MD quarterly,workplan_only,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""v1:Data, Measurement & Dashboards:\\baudit\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\baudit\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_897""]",[],"[""Ensure physician is updated quarterly about return audit visits to be completed.""]","[""Number of EDRV that were completed each quarter by physician""]","[""collecting baseline""]","[""""]"
current_2a5a2b7948f379000395,current_group_1aef30c3e730953d9d31,org_2db7f90ca34301e6,ind_b63866b887f21f14,2026/27,Complete return audit visits on all surgical return visits for the EDRVQP quarterly by nursing,Complete return audit visits on all surgical return visits for the EDRVQP quarterly by nursing,workplan_only,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""v1:Data, Measurement & Dashboards:\\baudit\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\baudit\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_896""]",[],"[""Audits completed by three members of our team, keep a record tracking what we are looking for in return visits.""]","[""Number of EDRV that were reviewed by the team each month""]","[""collecting baseline""]","[""""]"
current_bb20b575d43e54ef57e0,current_group_1aef30c3e730953d9d31,org_2db7f90ca34301e6,ind_b63866b887f21f14,2026/27,Explore improving access to earlier imaging when clinically indicated for surgical patients. Review and clarify ED imaging prioritization (ultrasound and CT) processes to ensure patients with suspected surgical conditions are appropriately prioritized,Explore improving access to earlier imaging when clinically indicated for surgical patients. Review and clarify ED imaging prioritization (ultrasound and CT) processes to ensure patients with suspected surgical conditions are appropriately prioritized,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_899""]",[],"[""Meet with DI and ED Group to discuss clinical pathways for surgical patients in the ED. Measure reduction in number of return visits for surgical.""]","[""Percentage of return visits resulting in surgical admission per month after initiative underway.""]","[""collecting baseline data""]","[""""]"
current_bf3898c873c926661c4a,current_group_1aef30c3e730953d9d31,org_2db7f90ca34301e6,ind_b63866b887f21f14,2026/27,Review return audit visits for themes and additional interventions to be completed if applicable,Review return audit visits for themes and additional interventions to be completed if applicable,workplan_only,source_exact_idea,"Data, Measurement & Dashboards",[],rule,"[""v1:Data, Measurement & Dashboards:\\baudit\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\baudit\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_898""]",[],"[""Team will review the visits quarterly to identify themes and any possible interventions.""]","[""Number of additional themes identified""]","[""collecting baseline data""]","[""""]"
current_2c17aeafb8f9c148d7d6,current_group_6ae93a9896a15da33258,org_2db7f90ca34301e6,ind_e7cd9b5804f1c518,2026/27,Continue with implementation of physician assistant program in the emergency department at Woodstock Hospital. Look at expanding this role to include the TaT.,Continue with implementation of physician assistant program in the emergency department at Woodstock Hospital. Look at expanding this role to include the TaT.,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_888""]",[],"[""Continue with same program from last year where the physician assistant is used in ED to see patients. The physician assistant will be mentored by ED doctor. We will be looking at using them to implement our TaT this year too.""]","[""PIA when physician assist is present for low acuity patients. PIA when physician assistant sees them at TaT. These will be recorded by the ED team and shared at monthly meetings""]","[""3.3 is our target for physician initial assessment time when the physician assistant is present. We will compare that too other times of the day.""]","[""""]"
current_a0cc5eb45a5bcb394efc,current_group_6ae93a9896a15da33258,org_2db7f90ca34301e6,ind_e7cd9b5804f1c518,2026/27,Implement a Rapid Triage and Rapid MD Assessment model (“Physician at Triage”). We will be looking at forming a Triage Assessment Team in ED for this.,Implement a Rapid Triage and Rapid MD Assessment model (“Physician at Triage”). We will be looking at forming a Triage Assessment Team in ED for this.,workplan_only,source_exact_idea,Patient Streaming / Triage,[],rule,"[""v1:Patient Streaming / Triage:\\btriage\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Patient Streaming / Triage"":[""\\btriage\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_889""]",[],"[""Propose physician assistant be on the TAT and one RPN. Explore Jurvinski in Hamilton's model to see how they roll this out.""]","[""Physician Initial Assessment during the time the Tat is being used and reviewed by the emergency department team and shared at our monthly meeting.""]","[""3.4 is our target for physician initial assessment during the times the TaT is being used. We will compare to out other times.""]","[""""]"
current_a61d92dc1d07224ff326,current_group_05feb22fdb4116162b55,org_2db7f90ca34301e6,ind_f197a93604c302d2,2026/27,Explore Triage Assessment Team (TaT). This would include having physicians or physician assistants at triage to reduce the time to see an MD.,Explore Triage Assessment Team (TaT). This would include having physicians or physician assistants at triage to reduce the time to see an MD.,workplan_only,source_exact_idea,Patient Streaming / Triage,[],rule,"[""v1:Patient Streaming / Triage:\\btriage\\b""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Patient Streaming / Triage"":[""\\btriage\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_894""]",[],"[""Propose Physician assistant be on the TAT and RPN, explore Jurvinski in Hamilton to see how they roll this out.""]","[""Our process measure will be Triage to DI test time and triage to DI order time which will be captured by our ED team and shared at our monthly meetings.""]","[""collecting baseline data""]","[""""]"
current_b14d4148ea7317397a6d,current_group_05feb22fdb4116162b55,org_2db7f90ca34301e6,ind_f197a93604c302d2,2026/27,Explore role of discharge nurse. She is currently going over instructions with patients the day of discharge but we would like to have patients ready to go home with discharge instructions the day before.,Explore role of discharge nurse. She is currently going over instructions with patients the day of discharge but we would like to have patients ready to go home with discharge instructions the day before.,workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_895""]",[],"[""Review roles and responsibilities of this position to ensure most patients discharged on a timely and efficient basis.""]","[""Percentage of discharges with conservable days on Acute Medicine Units to be reported by Acute medicine director and shared with our monthly meeting. Number of discharges where the LOS is greater then the expected LOS/total number of qualifying discharges multiplied then by 100.""]","[""The target for this measure is 28.7% We are looking for an incremental reduction of 30% of our current average of 41% for the first year.""]","[""""]"
current_f0a3a70bbe299b6be4d0,current_group_05feb22fdb4116162b55,org_2db7f90ca34301e6,ind_f197a93604c302d2,2026/27,"Organize a working group and Kaizan event to discuss where problems lie and how to mitigate include hospitalists, frontline, directors, discharge nurse and with ED physicians.","Organize a working group and Kaizan event to discuss where problems lie and how to mitigate include hospitalists, frontline, directors, discharge nurse and with ED physicians.",workplan_only,source_exact_idea,Discharge & Transition Planning,[],rule,"[""v1:Discharge & Transition Planning:\\bdischarg\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Discharge & Transition Planning"":[""\\bdischarg\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_893""]",[],"[""ED resources group set up a working group of team members.""]","[""Number of initiatives""]","[""Collecting baseline""]","[""""]"
current_6b401a876d333503601c,current_group_942b459ea0412dc8d328,org_2e8f27e53bab0301,ind_02586b3a2ab8b71a,2026/27,Implementing new Falls Risk Assessment Tool,Implementing new Falls Risk Assessment Tool,workplan_only,source_exact_idea,Safety & Risk Prevention,[],rule,"[""risk_assessment""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Safety & Risk Prevention"":[""\\b(?:risk assessments?|violence risk|environmental risk)\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1131""]",[],"[""1. Support Epic build for the Morse Tool 2. Staff education 3. Monitor compliance with the new falls risk assessment tool""]","[""1. Build the Morse Tool in Epic 2. Morse training incorporated into Epic Training 3. Compliance rate from Epic""]","[""1. By early Q2 26/27 2. By Q2 26/27 3. Collecting Baseline""]","[""""]"
current_8414234680d4bbec94c3,current_group_942b459ea0412dc8d328,org_2e8f27e53bab0301,ind_02586b3a2ab8b71a,2026/27,Optimize effective and timely activation of the high-risk falls protocol (i.e. care plans) within new Epic environment,Optimize effective and timely activation of the high-risk falls protocol (i.e. care plans) within new Epic environment,workplan_only,source_exact_idea,Technology & Digital Tools,"[""Policy / Standardization""]",rule,"[""v1:Technology & Digital Tools:\\bEpic\\b"",""v1:Policy / Standardization:\\bprotocol\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Policy / Standardization"":[""\\bprotocol\\w*""],""Technology & Digital Tools"":[""\\bEpic\\b""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1135""]",[],"[""1. Protocol documentation in falls intervention screen and post fall baseline data""]","[""1. Compliance rate from Meditech 2. Compliance rate from Epic 3. Audit score""]","[""1. Collecting Baseline 2. Collecting Baseline 3. Collecting Baseline""]","[""""]"
current_902fec40f9627c83e626,current_group_942b459ea0412dc8d328,org_2e8f27e53bab0301,ind_02586b3a2ab8b71a,2026/27,Optimize the consistent activation and application of Bedside Mobility Assessment Tool,Optimize the consistent activation and application of Bedside Mobility Assessment Tool,workplan_only,source_exact_idea,Other,[],fallback,[],unclassified,No specific operational mechanism matched,1.1,{},,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1134""]",[],"[""1. Bedside mobility tool data qshift 2. Audit Score 3. Osler BMAT Resources (Algorithm and Poster) and whiteboard BMAT addition""]","[""1. Compliance rate from Meditech 2. Compliance rate from Epic 3. Audit score""]","[""1. 10% increase by Q3 2026-27 2. Collecting Baseline 3. Collecting Baseline""]","[""""]"
current_35beabb00b960d091628,current_group_942b459ea0412dc8d328,org_2e8f27e53bab0301,ind_02586b3a2ab8b71a,2026/27,"Refresh, Spread and Sustain targeted falls prevention education for staff","Refresh, Spread and Sustain targeted falls prevention education for staff",workplan_only,source_exact_idea,Training & Education,[],rule,"[""v1:Training & Education:\\beducat\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Training & Education"":[""\\beducat\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1133""]",[],"[""1. Update existing Falls education and resources (LMS, Nursing Orientation Deck, Falls Champion Training Resources and Role, Corporate Falls Prevention Policy) in alignment with Epic Changes (Morse) 2. Staff education to be incoporated into Epic training""]","[""1. Update all the Falls Education Resources 2. Falls education incorporated with EPIC training""]","[""1. By early Q2 2026/27 2. 90 % of patient facing staff by Q3 2026/27""]","[""""]"
current_0cd4f13af3156d03138b,current_group_942b459ea0412dc8d328,org_2e8f27e53bab0301,ind_02586b3a2ab8b71a,2026/27,Spread and sustain standardized process for engaging falls champions and strengthen dissemination of falls audit results with teams to drive targeted improvements,Spread and sustain standardized process for engaging falls champions and strengthen dissemination of falls audit results with teams to drive targeted improvements,workplan_only,source_exact_idea,"Data, Measurement & Dashboards","[""Policy / Standardization""]",rule,"[""v1:Data, Measurement & Dashboards:\\baudit\\w*"",""v1:Policy / Standardization:\\bstandardiz\\w*""]",rule_supported,Explicit text pattern evidence; not a probability or validated label,1.1,"{""Data, Measurement & Dashboards"":[""\\baudit\\w*""],""Policy / Standardization"":[""\\bstandardiz\\w*""]}",,unreviewed_rules,"[""file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_1132""]",[],"[""1. Selection, training and tracking of falls champions 2. Develop a tool for program leadership to track active Falls Champions 3. Unit leadership engagement process - debrief, audit and data sharing""]","[""1. Number of active trained Falls Champions 2. Formal process for selection, training and tracking falls Champions 3. Development of a tool for leadership tracking""]","[""1. Atleast 2 Falls champions per unit 2. By Q2 26/27 3. By Q3 26/27""]","[""""]"
